store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
00017c6a-7a77-4a95-bb2d-40647868aff6,27.71,6.45,56.7,0.0,1.97,16.73
000bba84-20af-4a8b-b68a-368922cc6ad1,60.0,24.0,168.0,0.0,0.0,0.0
003222af-0b64-4f8c-b5c3-d2dc24636f02,60.0,11.25,78.75,0.0,0.0,0.0
00505ad5-7cf5-42f1-a7e4-252e42273e77,38.18,9.33,79.54,0.0,1.8,12.49
0059ffee-d90a-4355-afd3-b14e7030d2a5,41.82,10.45,89.04,0.0,1.24,8.59
006006cb-7763-42bb-af62-0101f6bc2de1,28.0,7.51,69.77,0.0,2.47,17.2
0066c6a3-6a89-40a1-b11f-64526666c771,60.0,15.98,111.88,0.0,0.0,0.0
006c9910-9126-4bb9-b5d8-cd37bc14790b,0.0,0.0,0.0,0.32,23.0,166.99
007257d2-73df-4c35-8a67-859f988b63f0,10.51,10.42,86.93,0.0,2.26,18.73
007a6957-bf78-4062-9a01-b39641f0c126,4.77,6.73,64.65,0.0,2.86,19.92
009c0a31-4856-4f4b-a2a1-a53145db6f45,8.2,10.35,89.38,0.0,0.3,2.24
009e533c-bbc6-4a3f-afda-ae1f9ab5dc87,60.0,10.0,70.0,0.0,0.0,0.0
00bcec56-84f9-4a91-a3b8-c63ba60c69fe,50.21,14.1,100.58,0.0,0.23,0.75
00bfac82-9546-429a-b137-39797e9dbe6c,7.07,6.1,58.27,0.0,2.32,16.15
00d3080b-63b0-46c3-ad41-35ba3e84e922,16.18,10.61,92.68,0.0,0.16,1.08
00e3e0a6-a94a-4abe-8ab7-138e7215993a,21.58,10.78,91.3,0.0,0.07,0.45
00e70d3c-7c2a-4633-b779-797f36f77dda,24.02,6.39,60.26,0.0,2.03,14.16
012c2916-6822-4202-9cc0-a9a20abe3ec4,60.0,12.5,89.5,0.0,0.0,0.0
0130723a-06f8-4377-9170-abe3b932eff8,60.0,11.25,78.75,0.0,0.0,0.0
013ba14b-3518-427a-8130-8379e9ab198c,60.0,11.5,80.5,0.0,0.0,0.0
0143bd74-2221-4765-9064-ce416f00ee6e,60.0,15.5,108.5,0.0,0.0,0.0
0157421c-0a63-4941-a409-37dfe713c8dd,29.57,6.02,77.39,0.0,5.47,20.03
0158621b-c033-47e1-98c0-14be931d7670,17.58,7.16,68.37,0.0,2.64,18.42
01611b02-d799-4a60-840a-38f16fdaf84b,42.45,9.49,70.2,0.0,0.21,1.5
0164431d-ed09-425d-b9fc-0527ea355c6b,18.49,6.3,38.86,0.0,2.13,35.57
0165ef34-3a7d-4e1f-870d-20a63d8fbcb3,4.29,9.22,83.98,0.0,0.86,6.05
01b0e90e-4bbb-4bad-a0d0-fa9f4eae8c82,60.0,17.0,121.0,0.0,0.0,0.0
01b363c7-9360-413f-9d81-560519758d27,60.0,24.0,168.0,0.0,0.0,0.0
01bba31b-d858-4fc2-9768-47b9bc394441,60.0,12.5,117.5,0.0,0.0,0.0
01c792cd-2acb-4dd2-89b3-9f58ee057494,9.57,7.89,72.3,0.0,2.78,19.36
01da0a2e-7341-448d-a66f-920fccd80e37,32.09,6.64,63.34,0.0,2.4,16.71
01dd1a67-9582-4c07-9c47-22990be20152,22.39,6.82,65.52,0.0,1.06,7.36
01e38f5a-0a56-4668-b0d1-9af60bbe4fb5,0.0,5.99,41.99,8.85,1.93,13.93
01ec731b-b8d5-4de7-a557-2d78816129f9,0.0,0.0,0.0,39.13,11.65,85.62
0206379e-d0cb-4afb-95ad-4518d07316de,7.58,8.31,77.06,0.0,2.81,19.98
02118686-3776-481b-89f1-a5cc03884878,5.34,6.08,56.71,0.0,2.35,16.71
021a3c1a-8328-4b6a-96a7-9fecc6975fd0,34.66,10.22,74.11,0.0,0.6,4.21
021d0906-a2c2-4c3d-8920-085fb075879c,60.0,13.5,96.5,0.0,0.0,0.0
021d7a16-0bed-4856-83bc-12cfcf53706b,19.35,7.72,72.09,0.0,2.61,18.21
022ba325-8587-4897-98ff-7ec3ab2882c1,11.43,6.18,60.13,0.0,2.85,19.89
022cd15f-9128-49b1-90e4-5938be627015,37.44,12.63,104.55,0.0,1.29,9.12
0233b870-8996-4137-a1c8-3e4ea98180c9,26.51,6.43,58.55,0.0,1.99,13.87
0243e64c-623b-454f-bb57-e3fda1f46373,13.27,14.03,114.75,0.0,0.2,1.46
0261c842-c16e-4f50-a9d3-04018068f88b,60.0,13.5,96.5,0.0,0.0,0.0
02837d4e-3d98-44ee-8533-1c6821ae5ab8,0.0,0.0,0.0,0.0,0.0,53.0
028611d6-7305-4314-8355-fed01489c446,60.0,13.5,94.5,0.0,0.0,0.0
0291c820-61c0-4677-a883-cc86a5ff35e1,17.03,7.14,66.3,0.0,2.65,18.48
02d16654-0bcf-49e1-9e3a-019555d6795a,60.0,17.0,131.97,0.0,0.0,0.0
02d6a0db-6c3d-4226-9563-5f861681ca30,4.9,6.07,56.01,0.0,2.35,16.41
02d77d60-f220-47ee-bcbe-d6639deee994,35.2,7.75,68.76,0.0,2.35,16.35
02dcc084-0b71-4a95-8781-f2e195aeace6,27.61,11.5,95.34,0.0,2.97,21.12
02e00fcb-db53-4633-aed6-5e964085d9e3,32.7,10.15,87.83,0.0,1.39,9.64
02e3f453-bc00-4f84-a9ce-26f97ec3eacd,60.0,11.5,82.48,0.0,0.0,0.0
02e9a94c-1f23-48b7-b040-f8a9ceae10b8,0.0,0.0,0.0,43.88,7.73,67.73
031543eb-84ff-4d73-a811-b3bb44ac0c79,18.46,6.29,59.61,0.0,2.13,14.81
031782b3-fdfd-44c6-b0f4-c59b2cad6fcb,31.41,8.08,71.62,0.0,2.94,20.3
031901e1-53bc-4bf0-a3b3-527b2f192f9f,60.0,11.5,80.5,0.0,0.0,0.0
03243548-0353-4656-8079-7b2f89245a58,20.07,7.24,66.72,0.0,2.6,18.13
0328b718-040e-4a09-9ea0-3d079d67fd87,60.0,13.25,92.75,0.0,0.0,0.0
0333f5b6-8846-40f7-9d17-6a637f0c93b7,60.0,14.0,100.0,0.0,0.0,0.0
034ce982-3714-44d2-92bd-2ecbb19418f3,13.38,7.02,64.02,0.0,2.71,22.7
034e20db-6a14-485a-810a-f9ca5d80116f,0.0,0.0,1.0,0.0,0.0,0.0
0366438a-d363-479d-89ef-33759e4b0eff,0.0,0.0,0.0,47.52,11.79,84.77
03747da9-40cf-4b33-bec4-d6479751aac1,33.56,10.19,87.72,0.0,0.37,2.82
037ece62-20c9-4af6-9c98-5b1f65224237,39.77,7.9,69.37,0.0,2.27,15.81
0383e8f9-4fe2-4cfa-a4ca-879d6bf62839,18.59,8.68,78.93,0.0,2.62,18.3
03842999-9dd1-4e78-9ba7-cf4fd2ee8d82,33.03,8.01,64.79,0.0,2.38,22.6
03904864-f270-42c1-b993-9710c911509a,22.54,6.36,53.09,0.0,2.56,23.84
03a8d396-bb73-431e-b05d-d30f31af22ea,28.71,9.03,80.37,0.0,2.46,17.11
03d6ef9e-9da3-4c40-81a8-76b698c58af1,50.17,23.82,167.72,0.0,0.0,0.0
03e68343-17dd-4c83-b885-a392ffe1ec29,17.29,6.28,57.47,0.0,2.15,14.95
03edf5ed-e502-47f3-8a4a-2fe6cd05a712,14.68,10.55,89.28,0.0,0.69,6.88
0415b056-3528-4711-a237-77126336b89d,0.0,6.22,61.55,38.16,2.43,13.11
04303893-f2a7-4fc5-b28d-c8479c8cb081,37.37,6.61,58.83,0.0,2.31,16.1
